datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),total_precipitation (mm of water equivalent),surface_pressure (Pa),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),absolute_humidity (g/m^3),rainfall (mm)
3/7/2024 9:00,"(42.089797, -76.807734)",2.83,0.92,4.56,0,96661.99,0,0,5.41004735,0
3/7/2024 10:00,"(42.089797, -76.807734)",3.15,0.91,4.14,0,96727.75,0,0,5.467699271,0
3/7/2024 11:00,"(42.089797, -76.807734)",3.38,0.9,4,0,96769.72,0,0,5.491747557,0
3/7/2024 12:00,"(42.089797, -76.807734)",4.5,0.85,4.05,0,96811.59,0,0,5.58924011,0
3/7/2024 13:00,"(42.089797, -76.807734)",5.53,0.79,4.03,0,96809.62,0,0,5.560976364,0
3/7/2024 14:00,"(42.089797, -76.807734)",6.64,0.74,3.97,0,96787.7,0,0,5.602235363,0
3/7/2024 15:00,"(42.089797, -76.807734)",7.98,0.68,3.91,0,96819.56,0,0,5.61574639,0
3/7/2024 16:00,"(42.089797, -76.807734)",8.38,0.65,3.79,0,96823.6,0,0,5.508144829,0
3/7/2024 17:00,"(42.089797, -76.807734)",7.73,0.64,2.55,0,96882.75,0,0,5.20072453,0
3/7/2024 18:00,"(42.089797, -76.807734)",6.19,0.7,2.69,0,96948.02,0,0,5.145761854,0
3/7/2024 19:00,"(42.089797, -76.807734)",4.74,0.75,3.14,0,97011.41,0,0,5.010864001,0
3/7/2024 20:00,"(42.089797, -76.807734)",3.67,0.79,3.05,0,97095.56,0,0,4.915080907,0
3/7/2024 21:00,"(42.089797, -76.807734)",2.19,0.85,2.66,0,97141.3,0,0,4.786925644,0
3/7/2024 22:00,"(42.089797, -76.807734)",1.59,0.88,2.38,0,97155.74,0,0,4.75802191,0
3/7/2024 23:00,"(42.089797, -76.807734)",1.09,0.9,2.05,0,97177.05,0,0,4.702976834,0
3/8/2024 0:00,"(42.089797, -76.807734)",-0.32,0.93,1.65,0,97168.6,0,0,4.410634128,0
3/8/2024 1:00,"(42.089797, -76.807734)",-1.24,0.93,1.27,0,97200.48,0,0,4.137626596,0
3/8/2024 2:00,"(42.089797, -76.807734)",-0.36,0.91,0.71,0,97212.18,0,0,4.303853326,0
3/8/2024 3:00,"(42.089797, -76.807734)",-1.7,0.92,1.13,0,97201.41,0,0,3.963691246,0
3/8/2024 4:00,"(42.089797, -76.807734)",-1.25,0.91,1.29,0,97204.55,0,0,4.045823375,0
3/8/2024 5:00,"(42.089797, -76.807734)",-1.73,0.93,1.53,0,97285.47,0,0,3.998368749,0
3/8/2024 6:00,"(42.089797, -76.807734)",-1.74,0.94,1.44,0,97325.28,0,0,4.038533281,0
3/8/2024 7:00,"(42.089797, -76.807734)",-1.49,0.95,2.08,0,97334.52,0,0,4.153495506,0
3/8/2024 8:00,"(42.089797, -76.807734)",-0.01,0.89,1.9,0,97350.44,0,0,4.312309439,0
